NQUEST,GIUDINT1,GIUDINT5,GIUDINT2,GIUDINT3,GIUDINT4
31899,4,2,4,3,5
31903,3,3,3,3,5
31904,4,2,4,4,5
31911,4,2,4,3,4
31912,4,1,4,3,4
31913,5,1,5,4,5
31914,4,2,4,3,4
31915,4,2,3,4,4
31918,5,2,5,4,5
31921,4,2,3,4,4
31923,2,1,3,4,4
31925,4,2,4,3,4
32001,4,2,4,2,3
32012,3,3,2,3,4
32014,5,2,4,3,4
32015,4,1,4,3,4
32016,3,3,2,3,5
32019,4,3,4,3,4
32028,4,1,4,4,4
32031,4,3,3,3,4
32032,3,3,3,3,3
32033,4,1,5,4,4
32034,4,2,4,3,4
32041,3,2,4,2,4
32043,4,3,3,2,4
32044,5,1,5,4,5
32046,5,1,5,4,5
32047,5,1,5,4,5
32051,5,1,5,4,5
32052,4,2,4,3,4
32054,5,1,5,4,5
32056,3,3,4,2,4
32057,4,2,4,3,4
32059,3,3,3,2,4
32061,2,4,2,3,3
32063,3,2,2,2,3
32065,2,3,2,3,3
32066,3,3,3,2,3
32067,3,3,3,3,4
32068,4,2,4,3,4
32089,3,3,4,3,4
32092,3,3,4,3,3
32104,3,3,3,3,3
32128,5,1,3,4,5
32135,3,2,3,3,4
32136,3,3,3,3,3
32138,4,3,3,2,4
32139,4,2,4,3,5
32140,4,3,2,3,3
32142,5,1,3,4,3
32144,4,3,3,2,4
32145,3,3,3,3,4
32159,5,1,4,4,5
32161,5,1,4,4,5
32166,3,3,3,2,4
32180,5,1,5,4,5
32190,4,1,4,4,4
32191,4,3,3,2,4
32197,5,1,5,4,5
32198,5,1,5,4,5
32204,5,1,5,4,5
32206,3,2,4,4,5
32207,3,3,4,4,5
32209,3,3,4,4,5
32210,3,3,4,3,4
32220,4,2,4,4,5
32229,4,3,2,3,4
32233,4,2,4,4,4
32234,4,2,4,4,5
32235,4,2,4,3,4
32236,4,2,4,3,4
32238,4,2,4,4,4
32239,4,2,4,4,4
32240,4,2,4,4,5
32252,3,2,3,3,4
32257,5,1,4,4,4
32260,5,1,4,4,5
32262,3,3,3,3,4
32271,2,3,3,3,4
32272,4,3,4,3,4
32275,4,2,4,4,4
32276,2,3,3,3,4
32277,5,2,4,4,4
32279,5,2,4,4,5
32280,3,3,3,4,4
32283,3,3,2,3,3
32284,5,2,4,4,4
32285,5,2,4,4,5
32288,5,2,4,4,5
32292,2,3,1,2,1
32293,2,3,1,3,1
32298,4,2,3,3,4
32303,4,1,3,3,4
32304,3,3,2,3,3
32308,1,5,2,2,2
32313,3,3,2,3,5
32318,2,4,2,3,4
32319,2,3,3,3,4
32320,4,2,4,4,5
32324,2,3,2,3,4
32327,3,4,1,4,4
32328,2,4,1,3,5
32331,4,2,3,3,5
32334,2,4,3,4,5
32339,3,3,2,3,4
32340,5,3,3,2,5
32349,4,3,3,4,5
32352,5,1,5,4,5
32363,5,1,4,4,5
32428,1,2,1,3,3
32432,5,3,2,2,3
32438,1,2,1,3,2
32439,3,2,2,3,4
32442,2,2,1,2,4
32443,2,4,2,3,3
32464,4,2,4,3,3
32465,5,1,4,3,4
32466,2,2,4,3,3
32467,5,1,3,3,5
32470,5,1,4,3,3
32471,2,2,3,3,3
32472,5,1,5,3,3
32473,3,2,3,3,3
32479,5,1,5,3,3
32480,3,2,3,3,3
32481,5,1,5,4,5
32482,5,1,3,3,3
32484,5,1,5,3,4
32485,2,2,3,3,4
32486,5,1,5,3,4
32488,2,4,2,2,3
32489,3,3,3,3,3
32492,3,2,3,3,3
32493,3,3,3,3,3
32494,5,2,4,2,4
32496,2,3,2,2,3
32500,4,2,3,3,3
32517,3,3,2,2,3
32522,5,1,4,3,5
32524,5,1,5,4,5
32552,3,3,2,3,2
32553,1,4,2,3,4
32554,3,2,3,4,5
32556,4,2,4,3,4
32558,3,2,4,3,4
32573,5,1,3,4,5
32575,4,3,5,3,5
32579,4,1,4,4,5
32583,2,3,3,3,4
32588,5,1,4,4,4
32590,5,2,3,4,5
32601,4,3,4,2,4
32602,3,3,3,3,4
32628,5,1,4,4,5
32630,4,3,3,3,5
32645,5,1,3,2,5
32649,5,1,3,3,5
32651,4,1,4,3,5
32654,2,2,2,3,3
32655,3,3,4,3,4
32656,2,2,4,3,4
32658,2,2,3,3,4
32659,4,2,3,3,4
32660,4,2,3,3,4
32663,4,1,4,3,4
32665,5,1,3,3,4
32668,4,1,3,3,4
32669,4,2,3,2,4
32678,1,4,1,3,3
32681,5,1,4,3,4
32684,4,1,3,3,4
32685,1,3,2,3,4
32691,2,3,3,3,4
32701,5,2,5,4,5
32703,5,1,5,4,5
32704,5,1,5,4,5
32708,5,1,5,4,5
32709,5,1,5,4,5
32711,5,1,4,4,5
32712,5,1,5,4,5
32713,5,1,5,4,5
32714,5,3,3,3,3
32716,5,1,5,4,5
32718,5,1,5,4,5
32719,5,2,5,4,5
32720,5,1,5,4,5
32722,5,1,4,4,5
32724,5,1,5,4,5
32725,5,1,5,4,5
32729,4,2,4,4,5
32731,4,2,3,3,4
32732,4,2,3,3,4
32733,4,2,3,3,4
32734,4,2,3,3,3
32735,5,1,4,4,4
32737,4,2,3,3,4
32738,4,2,3,4,4
32742,4,2,4,4,4
32743,3,3,3,3,4
32744,4,2,3,3,2
32746,2,1,3,3,4
32748,3,2,3,3,4
32751,4,4,4,4,4
32754,4,2,3,3,4
32755,3,2,3,3,3
32756,4,2,3,2,4
32757,2,3,1,3,4
32760,4,2,4,4,4
32764,4,3,3,3,4
32765,5,2,4,4,5
32769,3,3,1,3,3
32772,5,2,4,4,5
32773,3,3,3,4,4
32777,4,3,4,3,4
32778,3,3,4,3,4
32780,2,5,1,2,1
32782,3,3,2,3,3
32788,4,3,4,3,4
32789,4,1,4,3,4
32791,2,3,3,3,3
32799,4,2,3,3,4
32800,4,2,4,4,4
32801,2,2,1,3,5
32805,1,4,1,2,2
32810,3,1,2,4,5
32822,4,2,4,4,4
32833,3,3,3,3,3
32834,4,3,4,3,4
32835,4,3,4,3,4
32836,4,3,4,3,5
32837,5,3,4,4,5
32839,4,1,4,3,4
32843,2,3,3,3,4
32850,4,2,4,3,4
32861,4,1,4,4,5
32866,5,1,5,4,5
32867,5,1,5,4,5
32871,5,1,5,4,5
32874,3,2,4,4,4
32875,5,1,5,4,5
32878,4,2,4,4,4
32880,2,2,3,3,4
32882,4,2,4,3,4
32883,3,3,3,3,3
32887,5,1,4,3,5
32890,4,2,3,3,5
32891,3,3,3,3,5
32893,4,2,3,3,5
32895,3,3,2,3,5
32900,3,3,3,3,5
32901,2,2,4,3,5
32902,4,1,3,4,5
32907,4,1,4,3,5
32913,3,3,2,3,3
32919,3,3,1,2,3
32921,4,2,3,3,4
32925,2,2,4,3,5
32930,4,3,2,2,4
32936,4,3,1,2,2
32937,3,3,3,3,4
32946,4,2,3,4,5
32958,5,2,4,4,5
32962,5,2,4,3,5
32973,4,2,3,3,4
32978,4,1,3,3,5
32979,3,2,3,2,4
32981,4,1,4,3,5
32982,4,2,4,2,4
32986,3,3,3,1,4
32987,5,2,4,3,5
32998,3,2,3,3,4
33010,2,1,2,3,2
33027,3,1,2,3,5
33031,2,2,1,3,4
33032,4,1,2,4,5
33036,3,2,2,3,4
33038,2,3,1,3,2
33073,4,1,2,4,5
33172,3,4,3,3,3
33187,5,2,4,4,5
33203,4,2,4,3,4
33205,4,2,4,4,4
33206,4,2,2,3,4
33207,2,4,3,3,3
33208,3,3,3,3,3
33209,4,2,4,3,4
33211,4,2,4,3,4
33214,3,2,3,3,3
33219,4,2,4,3,4
33220,4,3,3,3,3
33221,4,3,3,3,4
33222,3,3,2,3,4
33225,3,2,3,3,4
33227,2,2,3,3,3
33228,5,2,5,3,5
33230,5,1,4,4,5
33235,5,1,4,4,5
33236,5,1,4,4,5
33238,3,2,3,4,5
33239,5,1,4,4,4
33240,4,3,1,3,3
33241,4,1,4,4,5
33245,5,1,4,3,5
33247,4,1,4,4,5
33250,5,1,5,4,5
33252,4,1,4,4,4
33268,4,2,4,3,4
33273,5,1,4,4,5
33275,5,1,4,4,5
33301,3,2,4,3,4
33303,4,3,4,4,5
33313,2,3,1,3,2
33314,4,2,4,4,4
33325,5,1,5,4,5
33328,4,2,4,3,5
33333,4,2,4,3,4
33335,5,1,5,4,5
33336,4,3,3,2,4
33340,3,3,3,2,4
33346,4,2,4,3,4
33347,4,3,4,3,5
33348,4,3,4,3,5
33350,4,2,4,3,4
33354,5,1,5,4,5
33361,5,1,5,4,5
33373,5,1,4,3,5
33382,2,2,3,3,2
33412,1,4,1,3,2
33417,1,4,1,2,1
33419,4,2,4,3,4
33427,3,3,2,3,4
33437,4,1,2,2,4
33451,5,1,4,4,5
33455,4,1,3,3,5
33457,4,3,3,4,5
33479,2,4,2,3,2
33484,5,1,4,4,5
33485,5,1,4,4,5
33591,3,2,1,3,4
33595,2,3,3,3,4
33597,1,3,1,3,4
33600,5,1,4,3,5
33601,4,2,3,3,4
33604,5,1,4,4,4
33608,3,3,3,4,4
33626,4,2,4,3,4
33631,3,2,3,3,4
33633,4,2,4,3,4
33634,2,4,3,3,3
33635,4,3,3,3,4
33636,4,2,4,3,4
33637,4,2,4,3,4
33639,4,2,4,3,5
33640,4,1,4,4,4
33642,3,2,4,4,4
33643,4,2,4,3,4
33644,4,2,4,3,4
33647,4,2,4,3,4
33649,1,4,1,3,3
33678,1,5,1,2,1
33684,4,3,4,3,5
33745,5,1,3,4,5
33746,5,1,4,4,5
33751,5,1,3,4,4
33753,1,2,2,3,4
33761,5,1,3,3,5
33773,4,2,3,3,5
33777,4,2,3,3,4
33778,4,1,3,4,5
33780,1,3,2,3,3
33781,3,2,2,2,3
33782,3,2,3,3,4
33783,3,2,3,3,4
33786,3,3,2,2,4
33789,4,2,4,3,4
33792,2,3,2,3,4
33796,3,3,3,3,4
33814,5,1,4,3,5
33816,2,3,3,3,4
33823,4,2,4,3,5
33839,2,2,3,3,4
33841,4,1,4,4,4
33853,5,1,4,3,5
33860,5,2,3,2,3
33865,5,2,3,4,5
33877,4,2,3,3,5
33879,3,2,3,3,4
33882,3,3,3,3,3
33884,4,2,3,3,4
33885,2,3,1,3,5
33888,3,3,1,4,5
33889,3,2,3,3,5
33890,4,1,4,3,4
33895,5,2,4,3,5
33927,3,5,1,2,3
33931,3,3,2,2,5
33934,4,2,4,3,4
33935,4,2,3,3,5
33937,4,2,3,3,4
33938,2,2,3,4,4
33941,5,2,5,4,5
33950,2,2,2,3,4
33977,5,1,4,4,5
33982,1,5,1,2,1
33983,5,1,3,4,5
33985,5,1,4,4,5
33992,1,3,1,3,2
33994,4,3,3,4,5
34002,2,2,1,3,3
34003,4,2,2,3,4
34005,4,2,2,2,5
34011,4,1,2,3,5
34014,1,3,1,3,5
34017,4,3,3,2,4
34018,4,2,4,3,5
34019,4,2,5,4,5
34023,2,3,4,3,5
34025,4,2,4,3,5
34028,4,2,4,4,5
34029,4,3,4,3,4
34031,4,3,3,3,4
34032,4,3,4,3,4
34040,4,3,4,3,4
34051,4,2,3,3,4
34055,4,2,4,3,5
34056,5,2,4,3,5
34057,4,1,3,3,3
34058,4,2,3,3,4
34059,5,1,4,3,5
34062,5,2,3,3,5
34066,4,2,2,3,4
34069,4,1,4,4,5
34099,4,2,2,3,4
34110,2,3,1,3,4
34124,5,1,2,4,4
34131,5,1,2,3,4
34132,4,1,3,3,5
34133,4,1,3,3,4
34134,4,2,2,4,3
34153,2,2,2,4,4
34154,4,2,2,3,4
34176,2,3,2,4,3
34181,3,1,2,3,4
34182,5,2,1,4,4
34184,2,2,2,3,2
34192,5,1,3,4,4
34196,2,3,1,3,3
34198,5,1,3,4,4
34199,3,3,3,3,3
34201,4,2,2,3,2
34203,3,2,3,3,4
34206,4,1,1,3,4
34211,4,1,4,4,5
34212,4,3,3,4,4
34215,4,2,4,3,4
34216,2,2,1,3,1
34218,5,3,4,4,5
34220,4,3,3,2,4
34221,4,1,1,1,2
34223,4,2,4,4,4
34224,4,2,4,2,3
34225,3,2,2,3,4
34228,5,1,5,4,5
34230,4,2,4,3,4
34235,5,2,4,2,5
34241,4,1,5,4,5
34242,5,1,4,4,4
34252,4,2,4,4,5
34255,4,2,4,4,5
34257,5,1,5,4,5
34258,5,1,5,4,5
34260,5,2,4,4,5
34261,5,1,4,4,5
34262,4,3,4,4,4
34264,5,1,5,4,5
34265,5,1,5,4,5
34268,5,1,5,4,5
34269,5,1,4,4,5
34271,5,1,5,4,5
34272,5,2,5,4,5
34273,5,1,5,4,5
34274,5,2,4,4,5
34280,5,2,3,3,5
34282,3,3,1,3,4
34285,3,4,1,2,3
34302,3,3,3,3,4
34305,4,3,4,3,3
34319,4,3,4,4,4
34332,5,1,4,3,5
34340,4,2,4,4,5
34363,5,1,4,2,4
34367,2,3,1,3,3
34377,4,2,3,3,4
34392,4,3,3,3,4
34393,3,3,1,2,3
34396,2,3,3,4,4
34397,3,3,3,2,4
34399,5,1,3,3,4
34431,2,3,2,3,4
34432,4,3,3,3,3
34435,3,3,1,2,3
34452,3,3,2,3,3
34457,1,5,1,1,1
34458,3,3,3,3,3
34467,3,3,3,3,4
34469,3,3,3,3,3
34470,3,2,3,3,3
34471,2,4,3,2,2
34473,4,3,4,3,4
34474,1,4,2,2,2
34476,4,2,4,3,4
34477,2,2,3,2,2
34498,4,2,3,3,3
34499,4,2,4,3,4
34509,3,3,3,3,3
34513,4,3,4,4,4
34525,4,2,4,4,5
34534,4,1,2,3,3
34541,4,1,5,4,3
34544,2,2,2,4,4
34555,5,1,4,3,4
34560,5,2,2,4,4
34567,4,1,3,3,3
34568,3,1,2,3,4
34578,4,1,3,3,5
34579,3,2,1,3,4
34584,3,3,3,3,5
34592,2,2,2,2,4
34593,3,1,2,3,4
34594,5,1,4,3,4
34595,5,1,4,3,5
34600,2,3,2,3,4
34631,4,1,5,4,5
34653,4,1,4,4,4
34706,5,2,4,4,5
34718,2,3,3,3,5
34720,5,1,4,4,5
34721,5,3,4,2,4
34726,4,2,4,4,4
34729,3,2,2,3,4
34731,5,1,3,3,4
34732,4,1,4,4,5
34733,5,1,3,4,5
34736,3,2,3,3,3
34737,2,3,2,2,2
34738,4,1,4,4,5
34739,3,3,3,3,3
34757,4,2,3,3,4
34769,3,3,3,4,5
34775,3,3,3,3,3
34778,2,2,2,3,4
34781,3,2,3,4,5
34783,4,2,3,4,4
34785,4,1,3,3,5
34791,2,3,3,3,3
34793,2,3,3,3,4
34796,4,1,3,2,4
34797,3,3,3,3,4
34800,1,4,3,3,4
34825,4,3,4,3,4
34833,4,2,4,3,4
34834,3,3,1,3,3
34836,4,1,5,3,5
34840,3,4,2,3,4
34841,3,1,3,3,4
34844,2,2,1,2,2
34845,2,3,3,3,4
34847,5,1,5,3,5
34852,5,1,5,4,5
34853,5,5,5,4,5
34857,4,2,3,3,5
34862,5,1,5,4,5
34886,5,3,3,4,4
34900,4,2,3,3,3
34922,5,1,5,4,5
34925,4,2,4,2,5
34926,5,1,3,2,4
34927,5,1,4,3,4
34931,4,1,3,2,4
34933,4,2,3,2,4
34934,5,1,4,3,5
34961,4,2,3,4,4
34962,4,3,3,3,4
34982,1,4,1,2,2
34983,2,3,1,3,4
34988,5,1,5,4,4
34993,4,2,4,3,5
34994,4,2,4,4,4
35001,4,2,2,3,4
35005,4,2,4,3,4
35009,3,2,3,3,5
35012,4,2,1,4,4
35019,2,3,1,2,2
35022,5,2,2,3,4
35024,3,3,3,2,3
35025,4,2,3,3,3
35026,3,2,2,3,2
35032,4,1,4,4,5
35035,2,2,4,4,4
35067,3,2,3,3,4
35076,4,2,4,4,5
35080,4,3,4,3,4
35082,3,2,1,2,2
35103,2,3,2,2,3
35106,2,2,4,3,4
35127,2,1,1,3,3
35132,4,2,4,3,4
35133,2,2,2,3,3
35134,4,1,3,2,5
35135,4,3,3,3,4
35140,2,3,1,3,4
35142,2,3,1,2,4
35146,4,1,3,3,4
35147,5,1,3,4,5
35148,3,1,3,3,5
35149,2,3,1,3,4
35150,2,2,2,2,4
35155,2,3,2,3,3
35157,3,3,3,2,3
35164,2,2,3,2,3
35168,3,3,3,3,4
35169,5,1,3,3,3
35202,2,3,1,2,1
35203,3,3,4,3,4
35205,4,1,4,3,4
35206,5,2,3,3,4
35209,2,3,2,2,2
35214,5,1,4,3,5
35215,3,3,3,3,5
35218,4,2,4,4,5
35222,4,3,3,3,4
35223,5,2,4,3,5
35228,5,1,5,4,5
35229,5,1,5,4,5
35231,5,1,5,4,5
35232,2,1,4,4,5
35234,5,3,4,2,5
35254,3,3,3,3,3
35260,5,1,5,4,5
35265,1,4,1,3,2
35268,3,2,2,3,4
35276,4,1,3,3,4
35278,3,2,3,3,4
35281,3,2,4,3,4
35295,3,2,3,3,4
35296,3,3,4,2,4
35297,3,3,4,4,5
35298,2,4,1,2,1
35301,4,2,4,3,5
35304,3,3,3,3,5
35314,3,3,3,3,5
35315,4,2,5,3,5
35317,4,2,5,3,5
35319,4,2,4,3,4
35322,4,3,4,3,5
35323,4,2,4,3,5
35324,4,3,3,3,5
35326,5,3,3,3,4
35327,5,2,5,4,5
35332,5,1,5,4,5
35336,3,3,4,3,4
35337,3,2,3,2,3
35338,2,3,3,4,4
35340,2,3,3,2,4
35346,3,2,3,3,4
35349,2,3,2,3,3
35351,5,1,4,4,5
35353,5,2,4,3,5
35354,4,2,4,4,5
35355,3,2,3,3,4
35366,5,1,4,4,5
35367,3,2,4,3,5
35370,3,2,3,3,5
35371,5,1,4,4,5
35372,5,1,5,4,5
35374,4,1,4,4,5
35376,4,3,4,4,5
35377,3,1,1,2,1
35378,4,1,1,3,2
35379,3,1,2,3,3
35381,4,1,1,3,4
35382,4,1,1,3,2
35383,3,1,1,3,2
35385,4,3,2,3,4
35389,5,1,5,3,5
35394,4,1,5,4,5
35395,2,3,2,4,5
35398,3,1,1,3,2
35399,5,1,5,4,5
35401,2,3,1,3,4
35405,2,3,1,3,2
35426,1,4,1,4,2
35432,4,2,3,3,5
35433,4,2,4,3,4
35437,5,1,5,4,5
35440,4,1,4,4,5
35443,4,2,5,4,5
35444,4,2,1,3,4
35446,3,3,2,3,3
35450,4,1,4,4,5
35454,4,3,3,3,5
35455,3,3,3,3,4
35456,4,2,4,4,4
35457,4,2,4,3,4
35458,4,2,4,4,4
35469,3,3,3,4,4
35472,4,2,4,3,4
35475,4,2,4,4,4
35485,4,3,3,4,4
35486,4,2,3,4,5
35487,4,3,3,2,4
35488,4,2,2,4,4
35489,4,1,4,3,5
35497,5,1,5,4,5
35498,4,2,3,3,5
35500,5,1,5,4,5
35501,4,2,1,1,1
35502,3,3,3,2,4
35506,4,3,3,3,4
35507,4,1,3,3,4
35508,2,3,2,3,4
35512,4,2,2,3,3
35514,3,3,1,1,3
35518,4,2,3,3,4
35519,2,2,2,3,5
35520,2,2,2,3,4
35552,3,3,2,3,5
35553,4,2,2,3,5
35555,3,3,2,3,4
35566,2,3,1,3,4
35570,2,3,2,3,4
35573,3,3,2,3,4
35588,2,3,2,3,2
35590,2,3,2,3,2
35592,3,4,1,2,2
35596,2,4,1,2,2
35598,2,3,1,2,2
35600,2,3,1,3,2
35614,4,2,4,4,4
35615,4,2,2,3,4
35622,4,1,4,4,5
35627,5,1,3,3,5
35628,5,1,2,3,5
35632,4,1,4,4,5
35636,3,3,3,2,4
35638,3,2,2,3,5
35640,5,1,2,3,5
35641,4,2,4,3,4
35643,4,1,4,4,5
35647,4,2,4,3,4
35648,5,1,2,3,4
35650,4,2,5,4,5
35676,3,3,3,3,4
35677,3,2,4,3,4
35679,4,2,4,3,4
35682,4,2,4,3,4
35685,4,2,2,4,4
35695,5,1,4,3,4
35702,5,1,5,3,5
35712,5,4,4,4,5
35718,4,2,3,3,5
35728,5,1,5,4,5
35735,5,5,4,4,5
35738,5,1,5,4,5
35742,5,1,5,4,5
35747,5,1,4,4,4
35780,4,2,4,2,4
35781,4,2,4,3,4
35788,4,2,4,4,5
35789,4,2,4,4,4
35802,3,4,3,2,4
35806,2,3,4,4,4
35812,5,1,4,4,5
35813,4,2,4,3,4
35819,4,2,4,3,4
35820,5,1,4,3,5
35851,4,2,1,3,4
35862,4,2,4,4,5
35864,4,1,4,4,5
35866,4,2,4,3,5
35867,5,1,4,4,5
35878,3,3,4,4,4
35879,1,4,3,2,3
35896,4,2,3,4,4
35899,4,3,4,2,4
35964,5,1,5,3,5
35968,4,2,3,4,5
36002,4,1,3,3,4
36004,4,1,3,3,4
36005,4,2,4,3,4
36008,2,2,4,3,4
36010,5,1,4,4,5
36011,5,1,5,4,5
36016,1,5,2,2,2
36049,4,2,2,3,3
36062,4,1,2,4,4
36066,4,2,4,3,4
36067,4,3,3,4,5
36071,1,4,3,3,4
36073,4,3,3,3,5
36074,4,3,3,3,5
36101,5,1,4,3,5
36106,3,2,4,3,4
36107,5,2,4,4,5
36109,4,2,4,3,5
36112,4,3,4,3,4
36113,5,1,3,4,5
36116,3,3,2,3,4
36119,5,2,2,4,5
36120,4,2,4,4,5
36122,3,3,4,4,4
36124,1,4,1,3,4
36128,3,3,3,3,4
36130,3,3,3,3,2
36131,4,1,4,3,4
36142,3,2,3,3,3
36144,2,2,2,3,3
36145,2,3,3,3,2
36146,3,2,3,3,3
36147,3,2,3,3,3
36148,3,3,3,3,4
36150,4,2,3,2,4
36156,5,1,4,4,4
36161,3,3,4,3,4
36162,5,1,5,4,5
36163,5,1,5,4,5
36164,3,2,3,3,4
36167,4,2,3,3,4
36175,3,3,3,3,3
36184,3,3,3,3,3
36186,3,3,4,4,4
36187,2,3,4,3,2
36236,4,1,3,3,4
36244,1,4,1,3,4
36249,2,3,2,3,4
36250,4,1,3,4,5
36253,5,1,4,3,5
36256,4,1,3,3,4
36260,3,4,3,3,5
36262,4,1,4,3,4
36279,5,1,5,4,5
36291,3,2,3,4,5
36302,4,3,3,3,3
36311,5,1,4,3,5
36316,3,2,4,3,4
36320,2,3,3,3,4
36321,4,1,4,3,4
36323,4,2,3,3,4
36324,2,3,3,2,4
36333,4,2,3,4,5
36346,5,1,3,2,4
36349,2,3,1,4,5
36373,5,1,5,4,5
36376,4,2,4,3,4
36378,4,2,4,3,4
36388,2,2,1,2,2
36389,3,3,4,3,4
36391,4,3,3,3,4
36393,4,2,3,3,4
36398,4,2,4,3,4
36399,4,3,3,3,4
36400,1,4,3,3,2
36402,4,3,4,3,4
36403,3,3,4,3,4
36406,4,2,4,3,4
36407,3,3,2,2,3
36409,4,3,4,3,4
36410,4,3,4,3,4
36412,3,3,3,2,3
36415,4,3,4,3,4
36420,4,3,4,3,4
36425,5,1,4,4,5
36426,3,2,4,3,4
36427,5,1,5,4,5
36428,5,1,3,4,5
36438,4,2,4,3,4
36441,4,2,4,4,5
36443,4,2,4,4,5
36446,4,2,4,3,4
36450,4,2,4,4,4
36487,3,2,4,3,4
36488,4,3,3,3,3
36489,4,2,4,3,4
36492,4,2,4,4,4
36493,4,2,3,3,4
36494,4,3,3,3,3
36495,4,3,3,3,4
36496,3,3,3,2,3
36497,3,3,3,3,4
36501,5,1,4,4,5
36505,3,3,3,3,2
36511,4,3,3,3,3
36512,3,3,3,3,2
36513,3,3,4,3,2
36514,2,3,2,3,2
36519,2,2,4,3,4
36521,5,2,5,4,5
36522,3,2,5,3,5
36523,1,4,1,2,1
36524,4,2,4,3,4
36527,4,2,4,3,5
36530,4,3,4,3,5
36531,4,3,4,3,5
36536,4,3,3,3,5
36537,3,3,4,4,5
36544,3,2,2,3,4
36545,4,2,2,2,3
36549,3,3,4,3,5
36550,5,2,5,3,5
36553,3,2,3,2,3
36554,3,2,3,2,3
36558,4,2,4,3,4
36565,4,2,4,3,4
36566,4,1,3,2,4
36567,4,2,4,3,4
36592,4,2,3,3,5
36594,3,3,2,3,5
36595,5,2,3,3,5
36596,4,2,4,3,5
36597,4,3,3,3,5
36616,3,2,1,1,2
36622,3,3,3,3,4
36627,5,2,4,4,5
36628,3,2,1,3,4
36639,2,2,1,1,3
36641,4,2,4,4,4
36642,1,3,3,2,4
36646,3,2,2,3,5
36647,4,3,4,3,5
36652,1,5,3,4,1
36655,4,1,4,4,5
36688,3,3,5,4,5
36696,2,3,3,3,4
36697,5,1,3,4,5
36726,4,2,4,3,5
36727,3,3,3,2,4
36728,2,4,2,3,4
36733,4,2,2,2,2
36739,4,2,3,3,5
36741,2,4,2,4,4
36746,2,2,2,2,4
36758,2,2,3,1,4
36759,5,1,3,3,4
36763,5,1,4,3,5
36768,4,1,4,3,5
36770,4,1,5,4,5
36773,5,1,5,4,5
36774,2,3,3,3,5
36775,3,2,3,3,3
36785,2,3,2,3,4
36787,3,3,3,2,4
36803,3,2,3,2,3
36809,5,1,3,3,5
36813,2,2,2,3,3
36814,3,2,3,3,4
36815,3,3,3,3,4
36821,3,2,2,3,3
36822,3,3,3,3,3
36848,3,3,3,3,3
36849,3,3,2,3,3
36852,2,3,2,4,3
36867,3,3,3,3,3
36871,5,2,1,1,1
36876,3,3,1,3,2
36883,2,3,1,3,2
36888,4,3,2,3,2
36889,3,3,2,3,2
36890,2,3,1,4,2
36891,2,3,1,2,2
36892,3,3,2,2,2
36893,2,3,2,3,2
37001,4,3,3,3,5
37011,5,1,5,4,5
37012,3,3,4,3,4
37026,4,2,2,3,4
37034,4,2,4,4,4
37036,4,2,4,4,5
37038,4,4,2,3,4
37042,5,1,3,3,4
37043,5,1,5,4,5
37044,3,2,4,2,4
37064,4,2,4,4,5
37067,4,2,4,4,4
37069,4,2,4,4,4
37071,4,2,4,4,4
37073,5,2,4,3,4
37075,5,2,5,4,5
37083,5,2,4,3,5
37092,4,2,4,4,4
37095,4,2,4,4,4
37115,5,1,4,4,5
37202,3,2,2,3,3
37205,1,3,1,2,2
37211,3,2,2,3,4
37215,3,2,3,3,3
37216,4,2,2,3,3
37218,2,2,2,3,4
37223,4,2,2,3,5
37228,3,1,3,3,4
37230,5,2,2,4,5
37233,5,1,5,4,5
37234,4,3,2,4,5
37245,3,2,3,4,4
37247,2,3,2,3,4
37250,4,2,3,3,4
37257,1,4,1,2,2
37258,5,1,4,3,3
37264,2,3,1,3,3
37266,5,1,4,3,4
37268,5,1,3,4,5
37286,4,2,3,4,4
37287,2,3,4,4,4
37288,4,2,4,2,3
37291,4,3,2,3,3
37294,3,3,3,3,4
37295,4,3,5,4,4
37299,3,3,3,3,4
37300,3,3,2,3,4
37302,4,2,3,3,5
37303,3,3,2,2,4
37310,4,3,3,3,4
37313,4,2,3,4,5
37315,4,1,3,4,5
37316,4,1,4,3,4
37326,3,3,3,3,3
37327,3,3,4,3,4
37328,2,3,2,2,2
37329,5,2,4,3,4
37330,5,3,4,3,4
37338,5,1,5,3,4
37339,4,2,4,3,4
37342,4,2,4,4,3
37343,5,1,5,4,4
37348,3,3,3,3,3
37349,4,2,5,3,5
37350,5,1,5,3,4
37379,2,3,1,2,2
37385,3,2,2,3,3
37386,2,2,2,3,3
37387,4,1,4,4,3
37389,5,1,5,4,3
37390,2,3,2,4,3
37391,2,2,2,4,3
37394,5,1,5,3,4
37396,3,1,4,3,3
37398,2,3,1,3,3
37399,4,3,2,4,4
37400,5,2,3,4,4
37410,3,3,3,2,4
37418,4,3,3,3,4
37456,4,3,3,3,4
37458,4,1,4,3,4
37459,4,3,2,3,3
37461,4,2,4,4,5
37465,3,3,3,3,4
37504,4,2,4,3,4
37509,5,2,3,3,5
37511,4,2,3,3,5
37512,4,2,3,3,4
37518,2,3,1,3,3
37521,5,1,5,4,5
37523,5,1,5,4,5
37546,3,2,2,2,2
37572,4,2,3,3,4
37576,3,1,3,3,4
37578,3,2,3,3,4
37579,2,2,3,3,2
37584,4,2,2,3,3
37604,4,2,3,4,5
37605,4,2,2,4,4
37607,5,1,4,4,5
37609,5,1,4,4,5
37619,5,1,5,4,5
